segment,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,total_angle_change_deg,average_angle_change_deg,curvature_rad_per_px,trajectory_pattern
219,47,551,65,565,56.0,558.0,22.80350850198276,142.1250163489018,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
22,591,567,607,544,599.0,555.5,28.0178514522438,55.175510843043206,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
246,397,562,404,582,400.5,572.0,21.18962010041709,109.29004621918872,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
165,399,562,405,582,402.0,572.0,20.8806130178211,106.69924423399361,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
110,685,575,704,552,694.5,563.5,29.832867780352597,50.44033203100551,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
68,683,575,685,555,684.0,565.0,20.09975124224178,84.28940686250037,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
303,269,588,278,568,273.5,578.0,21.93171219946131,65.77225468204583,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
44,685,587,687,555,686.0,571.0,32.0624390837628,86.42366562500266,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
230,184,595,204,583,194.0,589.0,23.323807579381203,30.96375653207352,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
244,535,592,544,565,539.5,578.5,28.460498941515414,71.56505117707799,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
54,402,571,414,598,408.0,584.5,29.546573405388315,113.96248897457818,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
257,534,592,546,569,540.0,580.5,25.942243542145693,62.447188423282206,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
33,536,599,539,573,537.5,586.0,26.1725046566048,83.418055344822,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
212,581,572,606,597,593.5,584.5,35.35533905932738,135.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
214,182,593,196,608,189.0,600.5,20.518284528683193,133.02506598911802,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
114,552,598,573,583,562.5,590.5,25.80697580112788,35.53767779197438,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
265,435,616,450,601,442.5,608.5,21.213203435596427,45.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
297,642,601,646,630,644.0,615.5,29.274562336608895,97.85331330197822,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
